id_cliente,nome_cliente,cpf,telefone,email,score,qtd_contas,contas_ativas,saldo_total,qtd_emprestimos,emprestimos_ativos,emprestimos_quitados,valor_em_aberto,qtd_transacoes,volume_transacionado,qtd_cartoes,cartoes_ativos,farol,parecer
1,Jade Cavalcanti Brito,19274863519,45998817821,aurora96@mendonca.br,474.8,2,0,747727.06,4,1,1,296269.88,37,18703.13,3,1,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
2,Rafael Pires Montenegro,32185607995,92974014721,alananovais@carvalho.com,976.18,1,0,74535.57,1,0,1,0.0,9,998.44,1,1,VERDE,Cliente seguro. Baixo risco de inadimplência.
3,Erick Jesus Mendonça,03591768448,73982753720,cardosodavi-lucas@andrade.edu.br,122.91,3,0,1879787.14,4,0,2,0.0,62,52194.05,6,1,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
4,Ravi Pereira Marques,65041983739,02913373667,emanuelda-conceicao@marques.net,241.83,1,1,223920.96,3,0,1,0.0,16,21794.16,2,0,VERMELHO,Cliente de alto risco. Evitar concessão de crédito.
5,Bianca Monteiro Souza,15760328921,57907557247,qmontenegro@vieira.com,550.73,3,0,1651188.52,7,0,3,0.0,80,135234.35,7,2,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
6,Rafaela da Conceição da Cruz,09481756211,32916997121,daragao@porto.gov.br,598.35,3,0,2629018.11,8,1,2,325166.03,56,59187.52,4,2,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
7,Evelyn Montenegro Silva,76531294043,67908881842,bda-mota@ribeiro.com.br,359.52,2,1,633444.36,2,1,0,873660.84,48,21625.14,4,2,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
8,Ana Lívia Barbosa Cardoso,48361720987,95921535493,otto07@fogaca.com.br,317.86,2,1,284561.25,2,1,1,659181.51,53,25897.79,4,0,AMARELO,Cliente requer atenção. Avaliar antes de conceder crédito.
9,Apollo Nunes Farias,36952178040,47943992935,fonsecamaria-vitoria@pimenta.edu.br,882.03,3,2,3941742.27,5,1,3,1490206.68,83,91340.64,9,1,VERDE,Cliente seguro. Baixo risco de inadimplência.
10,Pedro Moraes Dias,49830521605,86924768913,mariahcassiano@jesus.net,923.49,2,0,1296769.92,5,1,2,562493.44,24,30496.46,3,0,VERDE,Cliente seguro. Baixo risco de inadimplência.
